"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2615","search_general","Firefox 1920","Fri Feb 28 05:28:35 UTC 2025","passed","Fri Feb 28 05:28:38 UTC 2025","","searxng.spec.js","",""
"","2429","search_general","Firefox 1024","Fri Feb 28 05:29:32 UTC 2025","passed","Fri Feb 28 05:29:34 UTC 2025","","searxng.spec.js","",""
"","3065","search_general","Webkit 1920","Fri Feb 28 05:33:22 UTC 2025","passed","Fri Feb 28 05:33:25 UTC 2025","","searxng.spec.js","",""
"","1839","search_code","Webkit 1920","Fri Feb 28 05:33:46 UTC 2025","passed","Fri Feb 28 05:33:48 UTC 2025","","searxng.spec.js","",""
"","675","about","Webkit 1920","Fri Feb 28 05:33:48 UTC 2025","passed","Fri Feb 28 05:33:49 UTC 2025","","searxng.spec.js","",""
"","2029","search_general","Firefox 1024 - centered","Fri Feb 28 05:29:58 UTC 2025","passed","Fri Feb 28 05:30:00 UTC 2025","","searxng.spec.js","",""
"","2155","search_general","Firefox 1920 - dark mode","Fri Feb 28 05:32:25 UTC 2025","passed","Fri Feb 28 05:32:27 UTC 2025","","searxng.spec.js","",""
"","2285","search_general","Firefox 1920 - rtl","Fri Feb 28 05:31:41 UTC 2025","passed","Fri Feb 28 05:31:43 UTC 2025","","searxng.spec.js","",""
"","3813","search_images","Mobile Chrome - centered - rtl","Fri Feb 28 05:31:18 UTC 2025","passed","Fri Feb 28 05:31:21 UTC 2025","","searxng.spec.js","",""
"","1550","preferences","Mobile Chrome","Fri Feb 28 05:33:49 UTC 2025","passed","Fri Feb 28 05:33:51 UTC 2025","","searxng.spec.js","",""
"","1481","search_code","Firefox 1920 - rtl","Fri Feb 28 05:31:58 UTC 2025","passed","Fri Feb 28 05:32:00 UTC 2025","","searxng.spec.js","",""
"","1418","search_map","Firefox 1920 - no js","Fri Feb 28 05:32:14 UTC 2025","passed","Fri Feb 28 05:32:16 UTC 2025","","searxng.spec.js","",""
"","8106","search_videos","Firefox 1920 - dark mode","Fri Feb 28 05:32:31 UTC 2025","passed","Fri Feb 28 05:32:39 UTC 2025","","searxng.spec.js","",""
"","4607","search_map","Firefox 1920 - dark mode","Fri Feb 28 05:32:39 UTC 2025","passed","Fri Feb 28 05:32:44 UTC 2025","","searxng.spec.js","",""
"","4777","search_map","Firefox 1024","Fri Feb 28 05:29:44 UTC 2025","passed","Fri Feb 28 05:29:49 UTC 2025","","searxng.spec.js","",""
